temperature,precipitation,time_of_day,percentage
40,2,17,1.5
41,83,18,7.8
18,27,12,8.1
31,45,22,9.2
35,81,17,9.2
77,70,20,7.0
48,33,16,0.0
72,42,14,4.0
52,11,17,0.0
61,33,12,0.0
79,84,21,10.8
26,33,17,5.7
8,45,21,15.1
76,78,20,8.6
50,29,11,0.0
63,72,17,4.4
38,17,20,5.1
15,80,18,15.0
35,83,19,9.6
15,1,21,13.0
60,54,19,0.8
42,35,12,0.9
25,65,16,9.0
14,95,17,18.3
30,44,21,8.5
12,24,12,9.9
12,45,12,9.9
64,83,14,10.6
76,58,13,4.6
38,64,15,9.9
20,87,18,14.9
17,87,19,15.8
80,31,21,4.0
26,77,14,15.100000000000001
31,9,19,4.2
68,52,22,5.4
6,93,18,20.299999999999997
30,7,11,4.5
73,63,17,2.6
34,32,21,7.3
12,81,16,16.1
42,93,13,12.5
65,15,21,4.0
69,83,12,6.6
71,98,19,9.6
50,34,21,4.0
76,72,16,4.4
47,8,11,0.0
63,94,13,11.8
50,38,17,0.0
76,95,13,12.0
39,13,18,1.8
43,55,19,1.6
55,42,19,0.0
8,35,17,11.1
84,70,21,8.0
81,95,17,9.0
55,26,20,3.0
9,7,20,13.8
59,79,18,5.8
24,20,14,10.3
28,71,20,12.3
40,12,20,4.5
38,1,12,2.1
58,3,16,0.0
38,67,15,10.5
21,62,21,13.6
9,94,22,24.6
22,60,17,8.9
59,99,19,9.8
57,16,22,5.0
54,5,21,4.0
76,42,21,4.0
83,66,18,3.2
49,65,15,8.0
17,76,19,13.600000000000001
20,58,14,13.1
17,87,16,15.8
24,22,14,10.3
70,86,12,7.2
51,38,17,0.0
23,97,22,21.0
49,92,11,8.4
41,32,16,1.2
58,49,14,4.0
10,89,11,18.3
18,16,20,11.1
8,75,13,19.1
59,37,21,4.0
38,56,19,3.3
31,87,11,11.600000000000001
11,5,12,10.2
7,22,21,15.4
51,50,14,4.0
6,73,18,16.299999999999997
84,1,22,5.0
29,36,17,4.8
64,22,15,5.0
83,3,12,0.0
28,99,18,14.9
19,95,17,16.8
18,12,19,8.1
58,36,22,5.0
82,14,18,0.0
10,51,12,10.7
82,84,19,6.8
22,77,16,12.3
24,43,20,9.3
66,5,15,5.0
84,22,17,0.0
44,38,16,0.3
43,97,18,10.0
56,44,18,0.0
36,18,21,6.7
77,61,21,6.2
31,30,12,4.2
56,94,18,8.8
67,63,13,5.6
78,18,19,0.0
67,78,11,5.6
21,31,12,7.2
53,85,18,7.0
27,45,19,5.4
76,88,15,12.6
17,4,11,8.4
27,21,17,5.4
61,32,13,3.0
66,50,11,0.0
58,13,19,0.0
24,40,19,6.3
56,81,15,11.2
27,93,20,17.0
39,98,17,11.4
71,85,20,10.0
38,59,16,3.9000000000000004
37,31,17,2.4
50,18,17,0.0
49,90,18,8.0
23,96,14,19.799999999999997
19,4,16,7.8
82,9,16,0.0
70,42,13,3.0
43,6,12,0.6
22,58,18,8.5
74,10,14,4.0
63,79,18,5.8
36,94,16,11.5
25,81,11,12.2
44,91,19,8.5
31,41,15,9.2
6,26,13,14.7
84,3,20,3.0
43,16,13,3.6
60,65,20,6.0
17,29,12,8.4
60,74,16,4.8
70,32,19,0.0
82,52,11,0.4
60,94,21,12.8
32,47,14,7.9
68,20,13,3.0
75,36,18,0.0
68,91,13,11.2
60,69,17,3.8
45,44,11,0.0
45,42,14,4.0
8,84,12,17.9
61,89,22,12.8
34,6,17,3.3
50,40,22,5.0
60,72,18,4.4
35,89,17,10.8
11,70,20,17.2
81,56,12,1.2
58,27,13,3.0
12,1,12,9.9
59,57,20,4.4
73,71,21,8.2
48,0,20,3.0
17,86,19,15.600000000000001
24,44,11,6.3
82,43,14,4.0
36,35,16,2.7
64,41,20,3.0
54,69,12,3.8
31,62,18,6.6
29,14,22,9.8
56,78,18,5.6
72,90,19,8.0
25,18,20,9.0
22,1,11,6.9
43,7,20,3.6
19,37,13,10.8
57,10,18,0.0
42,21,18,0.9
52,39,19,0.0
56,52,21,4.4
76,58,22,6.6
32,20,15,8.9
20,18,16,7.5
20,13,13,10.5
39,7,17,1.8
21,5,13,10.2
77,45,19,0.0
56,31,16,0.0
16,86,14,19.9
52,68,20,6.6
26,38,19,5.7
53,51,15,5.2
56,57,12,1.4
83,67,14,7.4
5,60,21,18.0
70,74,19,4.8
68,65,20,6.0
12,77,12,15.3
29,61,18,7.0
70,71,13,7.2
77,6,17,0.0
77,51,14,4.2
81,50,20,3.0
74,80,13,9.0
83,21,22,5.0
55,98,22,14.6
57,74,14,8.8
19,89,20,18.6
54,40,18,0.0
75,13,22,5.0
79,9,22,5.0
42,89,12,8.7
44,88,14,11.899999999999999
70,21,15,5.0
43,78,21,10.2
78,47,15,5.0
21,69,16,11.0
11,18,17,10.2
43,91,13,11.799999999999999
72,90,20,11.0
39,41,12,1.8
55,34,21,4.0
51,47,13,3.0
40,80,18,7.5
68,24,12,0.0
17,3,22,13.4
22,8,19,6.9
25,35,11,6.0
69,20,15,5.0
12,99,20,22.700000000000003
52,67,17,3.4
47,43,17,0.0
57,54,19,0.8
31,5,13,7.2
23,61,19,8.8
27,50,12,5.4
54,77,21,9.4
55,72,12,4.4
47,98,19,9.6
55,74,20,7.8
73,84,18,6.8
45,38,16,0.0
76,60,17,2.0
15,10,18,9.0
84,81,15,11.2
56,17,20,3.0
27,57,21,10.8
53,22,14,4.0
42,88,14,12.5
51,27,12,0.0
76,82,16,6.4
11,58,11,11.799999999999999
70,26,18,0.0
81,59,18,1.8
66,79,15,10.8
33,70,20,10.6
42,54,17,1.7000000000000002
37,50,19,2.4
33,74,17,8.4
83,68,13,6.6
27,27,20,8.4
7,69,18,15.2
49,59,12,1.8
12,20,22,14.9
33,39,21,7.6
6,59,12,13.5
54,95,20,12.0
69,75,22,10.0
24,37,22,11.3
56,10,13,3.0
41,97,15,15.6
76,97,16,9.4
31,19,11,4.2
51,57,20,4.4
10,34,12,10.5
64,38,21,4.0
49,27,16,0.0
48,35,16,0.0
22,18,21,10.9
69,49,13,3.0
29,3,13,7.8
31,78,21,13.8
11,36,17,10.2
48,99,20,12.8
33,89,16,11.4
48,72,20,7.4
40,48,19,1.5
23,63,14,13.2
10,77,21,19.9
29,87,20,15.2
35,56,18,4.2
13,58,15,16.2
78,2,16,0.0
41,72,13,8.600000000000001
31,97,18,13.600000000000001
17,50,20,11.4
45,55,12,1.0
70,22,22,5.0
28,49,17,5.1
48,57,19,1.4
64,24,16,0.0
13,81,12,15.8
6,29,22,16.7
60,80,16,6.0
34,72,13,10.7
26,3,22,10.7
79,10,20,3.0
17,92,19,16.8
75,94,22,13.8
20,37,21,11.5
49,20,16,0.0
69,46,13,3.0
15,3,22,14.0
74,35,17,0.0
24,67,17,9.7
67,99,21,13.8
16,54,13,12.5
66,88,14,11.6
46,46,21,4.0
73,91,18,8.2
62,35,17,0.0
9,21,13,13.8
31,45,14,8.2
32,14,15,8.9
30,20,21,8.5
53,74,11,4.8
25,20,15,11.0
5,40,18,12.0
62,11,11,0.0
83,49,21,4.0
59,53,19,0.6
30,56,20,8.7
29,13,15,9.8
81,2,20,3.0
37,19,22,7.4
76,37,17,0.0
73,98,20,12.6
10,23,15,15.5
27,24,16,5.4
34,65,18,6.3
82,10,20,3.0
58,75,18,5.0
15,79,19,14.8
35,86,14,14.2
10,60,21,16.5
15,79,17,14.8
81,50,20,3.0
16,97,19,18.1
70,93,12,8.6
57,72,17,4.4
40,22,18,1.5
21,3,17,7.2
32,42,14,7.9
26,27,12,5.7
11,52,13,13.6
19,6,15,12.8
15,88,21,20.6
28,62,18,7.5
71,70,15,9.0
34,48,17,3.3
74,20,17,0.0
70,39,20,3.0
65,97,11,9.4
82,47,12,0.0
45,7,18,0.0
55,1,18,0.0
48,55,12,1.0
17,20,16,8.4
16,19,15,13.7
13,76,14,18.8
52,75,17,5.0
53,66,19,3.2
57,2,15,5.0
60,55,12,1.0
44,58,21,5.9
28,65,18,8.1
76,13,16,0.0
37,66,20,8.6
27,60,21,11.4
81,27,11,0.0
58,71,18,4.2
57,29,16,0.0
53,10,13,3.0
82,78,11,5.6
82,16,12,0.0
84,73,15,9.6
53,38,11,0.0
64,29,15,5.0
69,15,15,5.0
36,17,21,6.7
83,93,20,11.6
25,0,12,6.0
22,46,18,6.9
64,38,15,5.0
17,44,12,8.4
28,0,13,8.1
34,35,12,3.3
6,34,21,15.7
29,62,21,11.2
54,88,17,7.6
18,48,11,8.1
10,18,12,10.5
80,96,21,13.2
34,59,17,5.1
34,5,12,3.3
42,37,12,0.9
62,24,18,0.0
45,29,21,4.0
61,26,14,4.0
40,59,19,3.3
68,55,13,4.0
20,81,11,13.7
82,10,16,0.0
76,24,22,5.0
18,21,19,8.1
35,28,16,3.0
70,88,19,7.6
72,86,22,12.2
69,55,22,6.0
59,73,15,9.6
82,94,11,8.8
44,45,22,5.3
29,87,18,12.2
29,24,14,8.8
7,5,12,11.4
73,44,12,0.0
30,89,18,12.3
44,22,17,0.3
42,81,16,7.1000000000000005
42,32,17,0.9
72,74,17,4.8
11,57,14,15.6
34,3,21,7.3
23,29,22,11.6
39,27,22,6.8
37,2,15,7.4
37,46,21,6.4
82,19,21,4.0
42,91,12,9.1
14,47,13,12.3
61,73,16,4.6
32,46,13,6.9
82,19,22,5.0
42,99,21,14.700000000000001
20,55,17,8.5
25,12,13,9.0
10,81,19,16.7
45,87,15,12.4
19,29,22,12.8
7,15,11,11.4
47,59,14,5.8
51,10,12,0.0
18,27,19,8.1
70,65,20,6.0
33,78,13,12.2
8,32,21,15.1
30,26,15,9.5
16,21,21,12.7
6,29,12,11.7
21,83,20,16.8
39,87,19,9.200000000000001
14,50,16,9.3
47,0,19,0.0
25,37,21,10.0
19,45,14,11.8
39,87,14,13.200000000000001
64,63,14,6.6
48,64,14,6.8
9,78,22,21.4
77,15,21,4.0
22,4,12,6.9
25,4,15,11.0
76,21,11,0.0
78,56,12,1.2
55,74,15,9.8
45,32,19,0.0
28,78,13,13.7
28,18,17,5.1
42,62,22,8.3
48,46,19,0.0
61,90,22,13.0
63,18,18,0.0
38,40,20,5.1
79,71,13,7.2
27,90,22,18.4
47,90,14,12.0
44,36,11,0.3
51,10,14,4.0
45,74,12,4.8
51,45,22,5.0
24,64,12,9.1
81,49,13,3.0
69,3,13,3.0
72,64,14,6.8
28,55,11,6.1
40,99,21,15.3
49,70,18,4.0
6,41,14,15.7
32,97,16,13.3
30,72,21,12.9
27,6,13,8.4
83,38,17,0.0
40,82,21,11.9
10,63,22,18.1
39,38,12,1.8
42,15,22,5.9
39,56,13,6.0
78,17,21,4.0
57,70,14,8.0
42,57,13,5.3
63,24,11,0.0
47,30,16,0.0
8,86,13,21.3
9,86,11,18.0
72,32,18,0.0
49,33,14,4.0
84,8,15,5.0
29,18,15,9.8
82,96,19,9.2
15,31,13,12.0
33,11,13,6.6
38,77,15,12.5
18,76,19,13.3
28,73,15,14.7
63,96,19,9.2
43,27,13,3.6
30,84,18,11.3
47,20,19,0.0
40,92,18,9.9
43,40,19,0.6
65,31,14,4.0
20,14,16,7.5
63,85,18,7.0
10,88,11,18.1
60,43,19,0.0
12,81,20,19.1
31,35,15,9.2
75,78,18,5.6
31,15,13,7.2
50,12,18,0.0
45,53,20,3.6
83,89,11,7.8
29,43,18,4.8
22,9,11,6.9
16,2,20,11.7
55,44,13,3.0
43,73,21,9.2
14,63,16,11.9
78,25,18,0.0
81,80,21,10.0
58,4,19,0.0
33,53,21,8.2
45,99,13,12.8
13,79,21,19.4
67,56,18,1.2
81,85,19,7.0
41,66,19,4.4
18,70,11,12.1
77,84,17,6.8
76,47,18,0.0
43,88,20,11.2
44,36,22,5.3
58,10,18,0.0
7,70,21,19.4
59,21,14,4.0
37,75,21,11.4
75,9,20,3.0
23,82,18,13.0
38,79,14,11.9
82,54,20,3.8
54,63,11,2.6
51,67,12,3.4
50,5,11,0.0
60,5,16,0.0
61,50,22,5.0
55,17,11,0.0
58,34,19,0.0
32,39,21,7.9
23,26,16,6.6
31,2,13,7.2
52,5,11,0.0
23,28,18,6.6
55,91,14,12.2
11,91,17,18.4
33,54,22,9.4
47,59,16,1.8
73,89,17,7.8
62,59,20,4.8
12,83,15,21.5
46,15,11,0.0
80,23,13,3.0
46,76,14,9.2
17,31,22,13.4
30,42,17,4.5
22,71,14,15.100000000000001
46,61,14,6.2
55,35,18,0.0
20,10,14,11.5
7,12,18,11.4
83,28,20,3.0
49,53,15,5.6
26,28,11,5.7
27,56,15,11.600000000000001
63,33,11,0.0
66,18,14,4.0
72,79,12,5.8
58,41,21,4.0
61,30,14,4.0
27,26,15,10.4
64,50,19,0.0
77,48,22,5.0
59,13,21,4.0
84,92,14,12.4
67,86,12,7.2
60,91,13,11.2
59,73,11,4.6
29,89,19,12.6
30,62,13,9.9
53,86,17,7.2
67,81,20,9.2
49,3,16,0.0
77,56,16,1.2
83,10,11,0.0
43,42,22,5.6
69,39,14,4.0
73,39,11,0.0
60,12,21,4.0
13,24,16,9.6
74,6,21,4.0
32,93,15,17.5
49,5,14,4.0
30,40,19,4.5
32,95,18,12.9
44,36,14,4.3
19,84,20,17.6
10,28,21,14.5
31,88,20,14.8
42,73,16,5.5
72,18,21,4.0
79,67,21,7.4
68,59,20,4.8
34,92,22,16.7
7,80,22,22.4
66,97,11,9.4
16,4,12,8.7
34,69,22,12.1
42,98,20,13.5
64,67,19,3.4
42,46,18,0.9
19,26,18,7.8
22,40,20,9.9
56,0,16,0.0
33,79,14,13.4
64,88,19,7.6
25,39,14,10.0
21,3,22,12.2
22,35,21,10.9
61,52,15,5.4
41,10,17,1.2
64,57,22,6.4
42,17,21,4.9
16,22,14,12.7
79,68,12,3.6
77,80,17,6.0
5,47,22,17.0
62,40,11,0.0
7,12,20,14.4
67,67,17,3.4
25,57,18,7.4
27,93,16,14.0
13,45,12,9.6
59,14,11,0.0
23,71,15,15.8
66,69,20,6.8
43,67,18,4.0
80,89,18,7.8
31,88,20,14.8
50,20,14,4.0
38,28,13,5.1
37,73,19,7.0
54,55,17,1.0
24,83,20,15.899999999999999
44,41,15,5.3
62,83,22,11.6
35,88,14,14.6
42,6,19,0.9
49,4,18,0.0
45,6,22,5.0
13,46,18,9.6
13,93,21,22.2
67,27,14,4.0
83,80,14,10.0
81,26,11,0.0
26,81,18,11.9
20,83,12,14.1
36,57,11,4.1
70,1,19,0.0
18,21,22,13.1
42,17,19,0.9
12,71,13,17.1
25,10,13,9.0
60,22,22,5.0
50,30,13,3.0
47,20,16,0.0
50,25,18,0.0
52,58,13,4.6
74,48,13,3.0
35,87,12,10.4
37,99,14,16.200000000000003
48,35,13,3.0
75,80,19,6.0
12,41,13,12.9
77,57,21,5.4
6,97,21,25.1
21,13,22,12.2
56,26,13,3.0
49,54,19,0.8
41,48,15,6.2
46,24,21,4.0
48,71,19,4.2
42,71,12,5.1000000000000005
10,45,20,13.5
72,83,11,6.6
55,41,15,5.0
39,81,18,8.0
62,63,15,7.6
61,32,20,3.0
77,65,19,3.0
10,38,11,10.5
17,5,22,13.4
63,6,18,0.0
34,46,20,6.3
6,45,20,14.7
62,66,22,8.2
40,52,18,1.9
76,34,17,0.0
49,94,21,12.8
13,62,13,15.0
69,38,18,0.0
81,13,16,0.0
54,99,13,12.8
83,19,22,5.0
36,17,20,5.7
47,91,13,11.2
82,37,12,0.0
58,37,13,3.0
51,97,18,9.4
18,22,14,12.1
52,60,13,5.0
59,57,17,1.4
33,31,16,3.6
51,78,17,5.6
67,92,14,12.4
23,10,14,10.6
13,79,13,18.4
41,43,19,1.2
56,38,12,0.0
61,43,21,4.0
32,94,14,16.700000000000003
40,68,13,8.1
68,3,14,4.0
22,89,17,14.7
39,73,22,11.399999999999999
72,90,13,11.0
82,6,15,5.0
43,68,14,8.2
12,98,19,19.5
84,51,16,0.2
19,33,20,10.8
11,27,12,10.2
21,98,13,19.8
68,4,14,4.0
16,14,19,8.7
60,32,21,4.0
50,91,15,13.2
51,47,22,5.0
83,27,14,4.0
20,83,13,17.1
73,27,15,5.0
6,78,19,17.299999999999997
58,84,13,9.8
31,34,15,9.2
35,63,14,9.6
45,67,22,8.4
40,26,22,6.5
51,44,15,5.0
47,9,17,0.0
69,13,22,5.0
54,46,16,0.0
5,76,15,22.2
76,52,14,4.4
61,65,20,6.0
20,49,14,11.5
32,42,16,3.9
26,40,13,8.7
45,40,17,0.0
80,46,15,5.0
23,44,18,6.6
54,92,16,8.4
63,64,14,6.8
73,16,18,0.0
38,43,12,2.1
43,56,15,6.8
78,91,20,11.2
11,82,15,21.6
56,32,12,0.0
64,62,20,5.4
56,67,12,3.4
83,52,16,0.4
28,25,22,10.1
30,87,18,11.9
14,70,13,16.3
21,42,20,10.2
82,52,12,0.4
6,89,16,19.5
81,79,15,10.8
31,13,22,9.2
77,50,22,5.0
75,36,16,0.0
52,75,18,5.0
78,44,16,0.0
13,10,21,13.6
27,64,14,12.2
75,34,16,0.0
77,31,17,0.0
31,49,19,4.2
75,32,17,0.0
47,68,18,3.6
11,32,18,10.2
67,65,11,3.0
48,32,12,0.0
43,23,15,5.6
44,12,19,0.3
11,96,12,19.4
74,6,19,0.0
29,34,14,8.8
63,18,12,0.0
17,97,20,20.8
66,33,17,0.0
12,25,15,14.9
49,69,13,6.8
22,52,16,7.300000000000001
64,53,11,0.6
64,89,13,10.8
6,98,22,26.299999999999997
70,22,15,5.0
18,62,15,15.5
52,90,16,8.0
60,9,18,0.0
16,35,12,8.7
59,93,14,12.6
32,97,16,13.3
8,32,15,16.1
40,72,20,8.9
54,58,19,1.6
7,64,19,14.2
5,32,18,12.0
21,70,20,14.2
75,72,13,7.4
66,60,21,6.0
52,15,11,0.0
66,93,17,8.6
73,81,22,11.2
23,63,12,9.2
38,59,22,8.9
53,87,18,7.4
84,13,19,0.0
51,45,22,5.0
54,92,21,12.4
30,36,21,8.5
60,82,18,6.4
82,5,11,0.0
18,68,12,11.7
82,10,20,3.0
29,70,13,11.8
8,9,17,11.1
83,17,15,5.0
36,96,20,14.899999999999999
82,78,19,5.6
69,74,16,4.8
65,81,19,6.2
24,92,20,17.7
78,2,21,4.0
14,29,11,9.3
38,50,20,5.1
65,12,11,0.0
31,89,16,12.0
44,18,20,3.3
69,10,11,0.0
37,68,12,6.0
72,24,22,5.0
75,92,20,11.4
13,21,21,13.6
20,44,14,11.5
9,88,12,18.4
27,31,20,8.4
47,34,14,4.0
61,56,11,1.2
55,51,14,4.2
17,54,19,9.200000000000001
28,63,11,7.699999999999999
15,80,18,15.0
56,89,14,11.8
21,2,21,11.2
41,35,19,1.2
17,59,20,13.200000000000001
66,96,15,14.2
12,30,19,9.9
60,6,22,5.0
74,83,16,6.6
48,82,19,6.4
64,44,13,3.0
45,39,16,0.0
25,68,15,14.6
46,31,15,5.0
78,45,20,3.0
78,16,14,4.0
33,54,12,4.4
84,7,20,3.0
69,98,12,9.6
21,5,13,10.2
34,62,17,5.699999999999999
30,43,15,9.5
57,67,18,3.4
23,33,14,10.6
57,0,17,0.0
21,91,12,15.399999999999999
50,90,14,12.0
57,84,22,11.8
68,88,13,10.6
49,87,19,7.4
53,27,13,3.0
23,65,19,9.6
75,70,18,4.0
69,74,19,4.8
41,93,17,9.799999999999999
74,82,19,6.4
30,5,13,7.5
6,59,18,13.5
63,40,21,4.0
9,79,18,16.6
41,82,12,7.6000000000000005
35,25,16,3.0
80,14,16,0.0
52,33,15,5.0
10,13,18,10.5
19,68,12,11.4
19,83,21,18.4
65,11,14,4.0
20,36,16,7.5
24,70,14,14.3
81,97,12,9.4
48,31,20,3.0
46,8,19,0.0
50,36,16,0.0
38,8,19,2.1
68,18,16,0.0
33,75,11,8.6
7,63,17,14.0
13,7,19,9.6
79,11,22,5.0
79,36,16,0.0
29,15,15,9.8
46,2,13,3.0
50,7,19,0.0
77,10,20,3.0
63,81,16,6.2
25,73,13,13.6
78,96,13,12.2
26,14,13,8.7
33,22,18,3.6
67,11,17,0.0
77,91,20,11.2
65,2,16,0.0
68,60,16,2.0
73,64,11,2.8
44,34,18,0.3
79,0,15,5.0
5,99,17,21.8
69,93,16,8.6
66,93,12,8.6
58,73,18,4.6
64,13,11,0.0
50,87,15,12.4
9,83,16,17.4
26,83,16,12.3
57,32,20,3.0
74,75,18,5.0
36,50,15,7.7
15,68,22,17.6
14,86,22,21.5
43,15,21,4.6
35,40,12,3.0
16,90,19,16.7
84,72,15,9.4
42,13,20,3.9
71,28,13,3.0
70,13,13,3.0
56,94,11,8.8
9,6,13,13.8
15,43,20,12.0
29,8,16,4.8
39,60,13,6.8
39,77,12,7.2
26,59,18,7.5
41,82,15,12.600000000000001
59,52,22,5.4
79,97,21,13.4
76,73,19,4.6
68,46,21,4.0
24,15,11,6.3
8,46,14,15.1
22,36,14,10.9
55,22,20,3.0
72,30,22,5.0
24,57,17,7.699999999999999
13,62,15,17.0
84,1,12,0.0
30,85,13,14.5
29,3,18,4.8
72,96,12,9.2
45,21,22,5.0
63,56,16,1.2
49,30,22,5.0
45,75,13,8.0
42,96,16,10.1
23,53,16,7.199999999999999
18,19,16,8.1
25,40,15,11.0
19,8,20,10.8
7,47,14,15.4
41,22,22,6.2
50,32,11,0.0
20,82,19,13.9
18,32,14,12.1
13,68,11,13.2
11,62,21,16.6
18,52,14,12.5
10,20,21,14.5
19,63,19,10.4
56,31,21,4.0
76,63,22,7.6
38,40,16,2.1
5,82,22,23.4
73,45,12,0.0
24,21,19,6.3
84,17,16,0.0
11,99,12,20.0
11,24,22,15.2
54,99,16,9.8
6,79,20,20.5
51,89,14,11.8
18,76,22,18.3
35,95,14,16.0
54,66,11,3.2
65,99,16,9.8
45,18,16,0.0
18,77,20,16.5
9,20,13,13.8
79,95,12,9.0
9,49,19,10.8
68,23,11,0.0
33,60,15,10.6
79,79,13,8.8
9,71,13,18.0
40,59,16,3.3
83,92,12,8.4
23,50,12,6.6
68,49,20,3.0
26,56,11,6.9
38,68,14,9.7
60,13,12,0.0
21,23,13,10.2
80,9,12,0.0
60,68,22,8.6
21,44,12,7.2
78,53,11,0.6
22,10,14,10.9
49,96,11,9.2
82,92,19,8.4
60,97,11,9.4
84,65,21,7.0
54,40,15,5.0
62,54,15,5.8
22,47,13,9.9
84,47,13,3.0
11,40,19,10.2
80,87,17,7.4
14,57,12,10.700000000000001
73,38,22,5.0
7,84,12,18.2
48,71,19,4.2
74,9,17,0.0
18,52,19,8.5
8,74,20,18.9
22,59,17,8.700000000000001
56,77,14,9.4
42,68,13,7.5
84,49,15,5.0
24,24,16,6.3
48,25,21,4.0
55,37,16,0.0
23,43,19,6.6
72,44,22,5.0
70,97,19,9.4
17,93,13,20.0
66,16,19,0.0
65,52,19,0.4
34,35,20,6.3
34,96,18,12.5
55,94,21,12.8
52,17,12,0.0
37,11,13,5.4
78,69,12,3.8
23,10,13,9.6
75,25,14,4.0
61,40,17,0.0
23,7,15,11.6
83,95,14,13.0
45,86,16,7.2
46,4,15,5.0
56,93,14,12.6
8,67,19,14.5
8,36,20,14.1
9,46,11,10.8
45,5,20,3.0
65,21,14,4.0
79,89,12,7.8
59,28,14,4.0
79,28,21,4.0
17,68,22,17.0
18,18,13,11.1
64,2,13,3.0
76,39,12,0.0
29,77,17,10.2
48,46,19,0.0
14,59,15,16.1
75,39,15,5.0
54,86,15,12.2
48,26,17,0.0
18,63,16,10.7
19,12,19,7.8
20,85,22,19.5
6,10,20,14.7
34,78,14,12.899999999999999
34,92,12,11.7
35,78,13,11.6
81,24,15,5.0
24,84,12,13.1
53,42,15,5.0
39,54,13,5.6
27,72,16,9.8
65,88,12,7.6
59,27,11,0.0
71,86,22,12.2
12,28,18,9.9
44,93,21,12.9
63,88,12,7.6
36,83,22,14.3
11,34,20,13.2
6,0,11,11.7
10,45,20,13.5
40,23,15,6.5
36,92,20,14.100000000000001
49,88,21,11.6
46,18,17,0.0
57,18,18,0.0
13,32,15,14.6
79,52,14,4.4
79,86,11,7.2
53,54,21,4.8
6,51,22,16.9
71,98,14,13.6
15,91,21,21.2
54,40,22,5.0
39,66,14,9.0
19,43,14,11.8
79,11,17,0.0
35,71,22,12.2
66,33,19,0.0
32,69,21,11.7
29,46,15,9.8
29,65,19,7.8
79,20,13,3.0
5,74,13,19.8
63,32,11,0.0
73,12,17,0.0
78,42,17,0.0
46,78,16,5.6
38,11,19,2.1
70,22,20,3.0
22,81,14,17.1
81,88,22,12.6
9,92,19,19.200000000000003
24,59,12,8.1
70,19,16,0.0
79,53,12,0.6
66,82,13,9.4
36,99,18,12.5
62,77,11,5.4
54,33,22,5.0
42,41,22,5.9
59,42,19,0.0
32,93,17,12.5
78,52,19,0.4
26,9,13,8.7
47,71,20,7.2
40,65,20,7.5
56,85,22,12.0
40,23,15,6.5
32,69,14,11.7
82,4,19,0.0
62,93,13,11.6
40,29,20,4.5
74,95,19,9.0
13,2,12,9.6
25,75,14,15.0
68,25,18,0.0
80,75,18,5.0
65,33,12,0.0
44,72,22,9.7
60,71,12,4.2
8,21,11,11.1
35,46,16,3.0
31,58,12,5.800000000000001
62,72,20,7.4
29,87,11,12.2
73,75,14,9.0
74,75,20,8.0
9,52,11,11.200000000000001
12,45,22,14.9
13,54,18,10.4
19,17,15,12.8
11,16,13,13.2
76,39,17,0.0
19,36,22,12.8
41,30,20,4.2
43,8,19,0.6
10,95,19,19.5
61,18,15,5.0
23,52,15,12.0
67,41,21,4.0
35,99,15,17.8
79,2,15,5.0
83,87,17,7.4
14,35,19,9.3
71,89,22,12.8
66,83,21,10.6
7,77,16,16.8
22,58,12,8.5
29,95,16,13.8
24,7,19,6.3
62,52,15,5.4
54,36,20,3.0
83,74,21,8.8
14,69,19,13.100000000000001
25,36,20,9.0
33,31,12,3.6
14,32,15,14.3
17,45,20,11.4
51,80,17,6.0
27,60,20,10.4
54,53,21,4.6
8,97,17,20.5
71,98,20,12.6
57,37,11,0.0
6,49,12,11.7
72,21,16,0.0
69,62,17,2.4
83,65,21,7.0
61,57,21,5.4
74,95,22,14.0
11,22,12,10.2
23,12,17,6.6
48,27,17,0.0
67,15,17,0.0
69,59,14,5.8
43,12,14,4.6
30,23,15,9.5
48,67,14,7.4
16,95,13,20.7
26,45,15,10.7
81,50,18,0.0
18,44,16,8.1
34,25,22,8.3
48,42,17,0.0
42,78,21,10.5
63,79,14,9.8
46,0,16,0.0
56,27,11,0.0
67,80,14,10.0
65,15,17,0.0
38,94,22,15.9
43,59,19,2.4
45,15,13,3.0
41,67,16,4.6
69,42,16,0.0
83,23,21,4.0
36,26,21,6.7
12,34,11,9.9
22,33,16,6.9
49,56,21,5.2
37,84,21,13.2
9,44,18,10.8
78,12,21,4.0
40,72,12,5.9
27,70,20,12.4
44,43,18,0.3
9,28,20,13.8
38,22,22,7.1
28,61,13,10.3
21,81,22,18.4
75,87,16,7.4
26,47,16,5.7
19,61,15,15.0
19,4,20,10.8
29,23,21,8.8
57,84,14,10.8
25,92,12,14.4
70,32,11,0.0
36,9,19,2.7
25,20,20,9.0
72,17,21,4.0
48,29,17,0.0
70,99,22,14.8
18,32,19,8.1
19,51,17,8.0
24,12,19,6.3
38,4,14,6.1
40,63,15,9.1
13,49,19,9.6
75,5,21,4.0
34,83,12,9.899999999999999
81,36,22,5.0
67,75,12,5.0
39,11,13,4.8
17,57,21,13.8
83,57,12,1.4
50,12,21,4.0
60,4,18,0.0
13,83,17,16.2
40,93,12,10.1
7,16,14,15.4
23,84,14,17.4
32,67,11,7.3
27,85,16,12.4
11,6,22,15.2
80,35,12,0.0
18,90,15,21.1
50,77,20,8.4
19,78,22,18.4
71,82,21,10.4
19,17,20,10.8
55,96,13,12.2
12,72,15,19.3
73,79,18,5.8
66,60,14,6.0
55,83,16,6.6
67,86,20,10.2
72,37,22,5.0
82,63,21,6.6
